Year,Month,Community,Total Complaints,Total Number of Callers
2018,2,San Leandro,1.0,1.0
2018,4,San Carlos,64.0,2.0
2018,6,El Granada,475.0,1.0
2018,4,Santa Clara,15.0,1.0
2018,8,Los Altos,25681.0,163.0
2018,6,Palo Alto,48093.0,239.0
2018,7,Aptos,812.0,11.0
2018,3,Watsonville,175.0,1.0
2018,7,Brookdale,4.0,1.0
2018,3,Los Altos Hills,9153.0,35.0
2018,5,Ben Lomond,630.0,10.0
2018,7,El Sobrante,2.0,1.0
2018,2,Alameda,10.0,1.0
2018,6,Burlingame,148.0,15.0
2018,7,Orinda,40.0,3.0
2018,2,Menlo Park,1947.0,25.0
2018,2,Portola Valley,7005.0,40.0
2018,6,Ben Lomond,162.0,9.0
2018,7,Boulder Creek,532.0,10.0
2018,3,Albany,1.0,1.0
2018,2,Santa Clara,1.0,1.0
2018,7,Ben Lomond,288.0,8.0
2018,1,Foster City,476.0,10.0
2018,5,Woodside,2819.0,12.0
2018,2,Morgan Hill,763.0,2.0
2018,4,Oakland,8498.0,48.0
2018,3,Los Gatos,22822.0,153.0
2018,1,Santa Cruz,22743.0,129.0
2018,3,Saratoga,846.0,9.0
2018,1,Daly City,1485.0,9.0
2018,5,Cupertino,299.0,2.0
2018,8,Burlingame,577.0,34.0
2018,6,San Jose,39.0,2.0
2018,8,Mountain View,4323.0,59.0
2018,3,Half Moon Bay,399.0,10.0
2018,8,Daly City,1435.0,7.0
2018,8,Pinole,689.0,2.0
2018,4,Saratoga,944.0,9.0
2018,8,Bonny Doon,157.0,3.0
2018,3,Daly City,2484.0,10.0
2018,7,Belmont,669.0,6.0
2018,7,San Bruno,784.0,4.0
2018,1,Saratoga,1045.0,10.0
2018,8,Portola Valley,5086.0,38.0
2018,2,Redwood City,1861.0,14.0
2018,2,San Mateo,676.0,19.0
2018,1,Menlo Park,2061.0,27.0
2018,4,Burlingame,211.0,9.0
2018,2,Brisbane,2939.0,32.0
2018,7,Palo Alto,51852.0,226.0
2018,7,San Carlos,32.0,3.0
2018,5,Soquel,9992.0,92.0
2018,2,Burlingame,576.0,7.0
2018,1,Mountain View,7031.0,57.0
2018,3,Castro Valley,10.0,1.0
2018,6,Carmel,143.0,5.0
2018,3,Millbrae,52.0,6.0
2018,6,Brisbane,2255.0,28.0
2018,5,Daly City,2275.0,9.0
2018,4,Cupertino,165.0,3.0
2018,7,Burlingame,341.0,37.0
2018,7,Richmond,82.0,1.0
2018,5,San Leandro,6.0,2.0
2018,3,Sunnyvale,1077.0,13.0
2018,7,San Mateo,1327.0,31.0
2018,5,Brookdale,6.0,1.0
2018,4,Palo Alto,57205.0,239.0
2018,1,Soquel,8291.0,87.0
2018,6,San Mateo,1220.0,21.0
2018,7,Los Gatos,29451.0,151.0
2018,2,Oakland,7228.0,28.0
2018,7,Capitola,4725.0,23.0
2018,8,Menlo Park,1951.0,23.0
2018,7,Soquel,11737.0,89.0
2018,8,Saratoga,793.0,10.0
2018,8,San Bruno,581.0,10.0
2018,3,Moraga,390.0,3.0
2018,3,Morgan Hill,345.0,2.0
2018,6,Millbrae,4.0,3.0
2018,1,Sunnyvale,885.0,13.0
2018,1,East Palo Alto,8.0,2.0
2018,6,Foster City,449.0,8.0
2018,8,Santa Cruz,22449.0,138.0
2018,7,Portola Valley,7184.0,40.0
2018,2,Sunnyvale,574.0,11.0
2018,3,El Granada,201.0,4.0
2018,6,Saratoga,702.0,9.0
2018,7,El Granada,741.0,2.0
2018,8,Boulder Creek,273.0,9.0
2018,8,Oakland,7478.0,29.0
2018,4,Brookdale,3.0,1.0
2018,8,Berkeley,362.0,5.0
2018,7,Brisbane,2025.0,23.0
2018,1,Watsonville,212.0,1.0
2018,2,Capitola,382.0,14.0
2018,7,Lafayette,336.0,1.0
2018,2,Foster City,340.0,5.0
2018,2,Boulder Creek,1395.0,30.0
2018,5,Mountain View,6629.0,60.0
2018,4,Bonny Doon,104.0,4.0
2018,4,Redwood City,1465.0,18.0
2018,6,Fremont,24.0,1.0
2018,2,South San Francisco,308.0,8.0
2018,3,Bonny Doon,189.0,4.0
2018,5,Richmond,8.0,1.0
2018,6,Portola Valley,6672.0,41.0
2018,5,Moraga,208.0,2.0
2018,8,El Granada,543.0,2.0
2018,3,Mountain View,7170.0,67.0
2018,6,Moraga,189.0,2.0
2018,5,Aptos,732.0,14.0
2018,4,Watsonville,222.0,1.0
2018,5,Capitola,4420.0,23.0
2018,6,Hillsborough,97.0,9.0
2018,6,Hayward,2.0,2.0
2018,1,Los Gatos,21395.0,154.0
2018,6,San Francisco,3736.0,37.0
2018,8,Millbrae,26.0,10.0
2018,3,Berkeley,66.0,5.0
2018,7,Morgan Hill,55.0,2.0
2018,3,San Francisco,4986.0,44.0
2018,5,El Cerrito,1.0,1.0
2018,2,Cupertino,163.0,3.0
2018,5,Santa Cruz,25117.0,154.0
2018,2,Woodside,1120.0,12.0
