year,month,night_01l/r,night_01l/r_percent,night_10l/r,night_10l/r_percent,night_19l/r,night_19l/r_percent,night_28l/r,night_28l/r_percent,total_01l/r,total_01l/r_percent,total_10l/r,total_10l/r_percent,total_19l/r,total_19l/r_percent,total_28l/r,total_28l/r_percent
2005,1,14,6,164,71,4,2,49,21,6977.0,59.7%,1554.0,13.3%,206.0,1.8%,2943.0,25.2%
2005,2,14,7,158,80,0,0,25,13,6584.0,61.6%,2348.0,22%,24.0,0.2%,1730.0,16.2%
2005,3,10,4,165,69,0,0,65,27,7165.0,59.3%,1232.0,10.2%,30.0,0.2%,3650.0,30.2%
2005,4,26,9,99,32,0,0,180,59,7494.0,64%,833.0,7.1%,69.0,0.6%,3322.0,28.3%
2005,5,36,10,90,24,0,0,242,66,7767.0,63.1%,792.0,6.4%,2.0,0%,3743.0,30.4%
2005,6,26,6,96,24,0,0,285,70,5980.0,48.4%,156.0,1.3%,0.0,0%,6217.0,50.3%
2005,7,73,18,63,15,0,0,275,67,8380.0,68.5%,69.0,0.6%,0.0,0%,3782.0,30.9%
2005,8,113,28,85,21,0,0,211,52,9640.0,74.8%,88.0,0.7%,0.0,0%,3164.0,24.5%
2005,9,50,13,140,38,0,0,181,49,8999.0,75.1%,153.0,1.3%,0.0,0%,2838.0,23.7%
2005,10,53,15,131,36,0,0,181,50,9060.0,74.6%,232.0,1.9%,0.0,0%,2857.0,23.5%
2005,11,28,12,162,70,0,0,42,18,7685.0,67.7%,1323.0,11.7%,52.0,0.5%,2285.0,20.1%
2005,12,53,17,226,71,11,3,28,9,6346.0,54.9%,2862.0,24.7%,678.0,5.9%,1681.0,14.5%
2006,1,40,14,193,70,0,0,43,16,8443.0,66.5%,1930.0,15.2%,86.0,0.7%,2243.0,17.7%
2006,2,34,14,162,65,0,0,52,21,7841.0,68.1%,1602.0,13.9%,92.0,0.8%,1980.0,17.2%
2006,3,21,7,209,74,3,1,49,17,4867.0,37.4%,4345.0,33.4%,87.0,0.7%,3710.0,28.5%
2006,4,49,13,210,54,0,0,128,33,6100.0,47%,2198.0,17%,48.0,0.4%,4621.0,35.6%
2006,5,24,6,108,27,0,0,265,67,3719.0,27.6%,334.0,2.5%,0.0,0%,9435.0,70%
2006,6,103,25,80,20,0,0,225,55,8557.0,65.8%,110.0,0.8%,0.0,0%,4347.0,33.4%
2006,7,94,26,96,26,0,0,176,48,10488.0,76.8%,118.0,0.9%,0.0,0%,3047.0,22.3%
2006,8,104,27,112,29,0,0,169,44,11100.0,76.2%,138.0,0.9%,0.0,0%,3321.0,22.8%
2006,9,30,10,114,37,0,0,163,53,9798.0,75.5%,121.0,0.9%,0.0,0%,3059.0,23.6%
2006,10,32,10,145,47,0,0,131,43,10858.0,81%,157.0,1.2%,0.0,0%,2393.0,17.8%
2006,11,23,11,141,67,0,0,47,22,9861.0,75.5%,1100.0,8.4%,24.0,0.2%,2078.0,15.9%
2006,12,28,11,163,64,1,0,61,24,8851.0,65.4%,1611.0,11.9%,310.0,2.3%,2763.0,20.4%
2007,1,9,4,137,68,0,0,56,28,9562.0,71.7%,245.0,1.8%,0.0,0%,3522.0,26.4%
2007,2,33,17,106,54,0,0,56,29,6481.0,54.5%,2434.0,20.5%,147.0,1.2%,2827.0,23.8%
2007,3,45,15,106,35,0,0,155,51,10141.0,74.3%,112.0,0.8%,0.0,0%,3403.0,24.9%
2007,4,61,17,84,23,0,0,213,59,7682.0,57.7%,467.0,3.5%,1.0,0%,5174.0,38.8%
2007,5,49,13,62,16,0,0,277,71,8635.0,61%,85.0,0.6%,0.0,0%,5434.0,38.4%
2007,6,83,19,73,16,0,0,289,65,8304.0,57.6%,77.0,0.5%,0.0,0%,6025.0,41.8%
2007,7,124,29,61,14,0,0,238,56,9929.0,66.4%,66.0,0.4%,0.0,0%,4957.0,33.2%
2007,8,141,33,66,16,0,0,216,51,11221.0,73.4%,72.0,0.5%,0.0,0%,3992.0,26.1%
2007,9,67,18,129,35,0,0,168,46,11012.0,77.2%,237.0,1.7%,0.0,0%,3020.0,21.2%
2007,10,67,21,94,30,0,0,157,49,9856.0,75.5%,660.0,5.1%,2.0,0%,2530.0,19.4%
2007,11,76,29,99,38,0,0,83,32,11865.0,85.8%,279.0,2%,3.0,0%,1682.0,12.2%
2007,12,68,25,132,48,1,0,75,27,10012.0,68.6%,2336.0,16%,6.0,0%,2240.0,15.3%
2008,1,43,17,162,63,0,0,54,21,6999.0,51.1%,4440.0,32.4%,278.0,2%,1989.0,14.5%
2008,2,46,25,88,47,0,0,52,28,9178.0,72.9%,1251.0,9.9%,197.0,1.6%,1959.0,15.6%
2008,3,92,30,41,13,0,0,172,56,11600.0,79.4%,35.0,0.2%,0.0,0%,2979.0,20.4%
2008,4,64,21,38,13,0,0,202,66,8943.0,61.7%,38.0,0.3%,0.0,0%,5525.0,38.1%
