Year,Month,Airline Code,Airline,Total Noise Exceedances,Total Operations per Month,Exceedances per 1000 Operations,Noise Exceedance Quality Rating Score,Noise Exceedance Rating
2006,January,EJA,NETJETS AVIATION,1,637,2,9.99,9.99
2006,January,SKW,SKYWEST,15,6752,2,9.99,9.99
2006,January,USA,US AIRWAYS,2,388,5,9.97,9.97
2006,January,QXE,HORIZON AIR,1,168,6,9.97,9.97
2006,January,DLH,LUFTHANSA,1,108,9,9.95,9.95
2006,January,FFT,FRONTIER AIRLINES,3,289,10,9.95,9.95
2006,January,AWE,US AIRWAYS,10,731,14,9.93,9.93
2006,January,TRS,AIRTRAN AIRWAYS,1,67,15,9.92,9.92
2006,January,AFR,AIR FRANCE,1,62,16,9.92,9.92
2006,January,HAL,HAWAIIAN AIRLINES,1,62,16,9.92,9.92
2006,January,VIR,VIRGIN ATLANTIC,1,62,16,9.92,9.92
2006,January,COA,CONTINENTAL AIR LINES,13,709,18,9.91,9.91
2006,January,ACA,AIR CANADA,8,386,21,9.89,9.89
2006,January,ASA,ALASKA AIRLINES,30,1204,25,9.87,9.87
2006,January,DAL,DELTA AIRLINES,25,905,28,9.86,9.86
2006,January,TAI,TACA INTERNATIONAL AIRLINES,3,94,32,9.84,9.84
2006,January,ANA,ALL NIPPON AIRWAYS,2,62,32,9.84,9.84
2006,January,BAW,BRITISH AIRWAYS,4,124,32,9.84,9.84
2006,January,AAL,AMERICAN AIRLINES,65,1986,33,9.83,9.83
2006,January,UAL,UNITED AIRLINES,305,8489,36,9.82,9.82
2006,January,NWA,NORTHWEST AIRLINES,22,605,36,9.81,9.81
2006,January,MXA,MEXICANA,6,147,41,9.79,9.79
2006,January,DHL,DHL,8,83,96,9.51,9.51
2006,January,ABX,AIRBORNE EXPRESS,10,93,108,9.45,9.45
2006,January,AMT,AMERICAN TRANS AIR,35,270,130,9.34,9.34
2006,January,SCX,SUN COUNTRY,8,59,136,9.31,9.31
2006,January,JAL,JAPAN AIRLINES,21,136,154,9.21,9.21
2006,January,FDX,FEDERAL EXPRESS,27,142,190,9.03,9.03
2006,January,NCA,NIPPON CARGO AIRLINES,21,85,247,8.74,8.74
2006,January,CCA,AIR CHINA,8,28,286,8.54,8.54
2006,January,AAR,ASIANA AIRLINES,19,55,345,8.24,8.24
2006,January,PAL,PHILIPPINE AIRLINES,33,70,471,7.59,7.59
2006,January,CLX,CARGOLUX,8,14,571,7.08,7.08
2006,January,KAL,KOREAN AIR,66,110,600,6.94,6.94
2006,January,SIA,SINGAPORE AIRLINES,125,124,1008,4.86,4.86
2006,January,CKS,KALITTA AIR,24,22,1091,4.43,4.43
2006,January,TDX,TRADEWINDS INTERNATIONAL AIRLINES,9,8,1125,4.26,4.26
2006,January,EVA,EVA AIRWAYS,133,102,1304,3.35,3.35
2006,January,CAL,CHINA AIRLINES,152,110,1382,2.95,2.95
2006,January,CPA,CATHAY PACIFIC AIRWAYS,154,92,1674,1.46,1.46
2006,January,CKK,CHINA CARGO AIRLINES,49,25,1960,0,0.00
2006,February,SKW,SKYWEST,23,6222,4,9.98,9.98
2006,February,EJA,NETJETS AVIATION,3,532,6,9.97,9.97
2006,February,EGF,AMERICAN AIRLINES EAGLE,2,269,7,9.96,9.96
2006,February,FFT,FRONTIER AIRLINES,2,264,8,9.96,9.96
2006,February,BAW,BRITISH AIRWAYS,1,111,9,9.95,9.95
2006,February,AWE,US AIRWAYS,7,655,11,9.94,9.94
2006,February,QXE,HORIZON AIR,2,155,13,9.93,9.93
