Year,Month,Community,Total Complaints,Total Number of Callers
2018,2,San Leandro,1,1
2018,4,San Carlos,64,2
2018,6,El Granada,475,1
2018,4,Santa Clara,15,1
2018,8,Los Altos,25681,163
2018,6,Palo Alto,48093,239
2018,7,Aptos,812,11
2018,3,Watsonville,175,1
2018,7,Brookdale,4,1
2018,3,Los Altos Hills,9153,35
2018,5,Ben Lomond,630,10
2018,7,El Sobrante,2,1
2018,2,Alameda,10,1
2018,6,Burlingame,148,15
2018,7,Orinda,40,3
2018,2,Menlo Park,1947,25
2018,2,Portola Valley,7005,40
2018,6,Ben Lomond,162,9
2018,7,Boulder Creek,532,10
2018,3,Albany,1,1
2018,2,Santa Clara,1,1
2018,7,Ben Lomond,288,8
2018,1,Foster City,476,10
2018,5,Woodside,2819,12
2018,2,Morgan Hill,763,2
2018,4,Oakland,8498,48
2018,3,Los Gatos,22822,153
2018,1,Santa Cruz,22743,129
2018,3,Saratoga,846,9
2018,1,Daly City,1485,9
2018,5,Cupertino,299,2
2018,8,Burlingame,577,34
2018,6,San Jose,39,2
2018,8,Mountain View,4323,59
2018,3,Half Moon Bay,399,10
2018,8,Daly City,1435,7
2018,8,Pinole,689,2
2018,4,Saratoga,944,9
2018,8,Bonny Doon,157,3
2018,3,Daly City,2484,10
2018,7,Belmont,669,6
2018,7,San Bruno,784,4
2018,1,Saratoga,1045,10
2018,8,Portola Valley,5086,38
2018,2,Redwood City,1861,14
2018,2,San Mateo,676,19
2018,1,Menlo Park,2061,27
2018,4,Burlingame,211,9
2018,2,Brisbane,2939,32
2018,7,Palo Alto,51852,226
2018,7,San Carlos,32,3
2018,5,Soquel,9992,92
2018,2,Burlingame,576,7
2018,1,Mountain View,7031,57
2018,3,Castro Valley,10,1
2018,6,Carmel,143,5
2018,3,Millbrae,52,6
2018,6,Brisbane,2255,28
2018,5,Daly City,2275,9
2018,4,Cupertino,165,3
2018,7,Burlingame,341,37
2018,7,Richmond,82,1
2018,5,San Leandro,6,2
2018,3,Sunnyvale,1077,13
2018,7,San Mateo,1327,31
2018,5,Brookdale,6,1
2018,4,Palo Alto,57205,239
2018,1,Soquel,8291,87
2018,6,San Mateo,1220,21
2018,7,Los Gatos,29451,151
2018,2,Oakland,7228,28
2018,7,Capitola,4725,23
2018,8,Menlo Park,1951,23
2018,7,Soquel,11737,89
2018,8,Saratoga,793,10
2018,8,San Bruno,581,10
2018,3,Moraga,390,3
