Year,Month,Airline Code,Airline,Total Noise Exceedances,Total Operations per Month,Exceedances per 1000 Operations,Noise Exceedance Rating
2006,1,EJA,Netjets aviation,1,637,2,9.99
2006,1,SKW,Skywest,15,6752,2,9.99
2006,1,USA,Us airways,2,388,5,9.97
2006,1,QXE,Horizon air,1,168,6,9.97
2006,1,DLH,Lufthansa,1,108,9,9.95
2006,1,FFT,Frontier airlines,3,289,10,9.95
2006,1,AWE,Us airways,10,731,14,9.93
2006,1,TRS,Airtran airways,1,67,15,9.92
2006,1,AFR,Air france,1,62,16,9.92
2006,1,HAL,Hawaiian airlines,1,62,16,9.92
2006,1,VIR,Virgin atlantic,1,62,16,9.92
2006,1,COA,Continental air lines,13,709,18,9.91
2006,1,ACA,Air canada,8,386,21,9.89
2006,1,ASA,Alaska airlines,30,1204,25,9.87
2006,1,DAL,Delta airlines,25,905,28,9.86
2006,1,TAI,Taca international airlines,3,94,32,9.84
2006,1,ANA,All nippon airways,2,62,32,9.84
2006,1,BAW,British airways,4,124,32,9.84
2006,1,AAL,American airlines,65,1986,33,9.83
2006,1,UAL,United airlines,305,8489,36,9.82
2006,1,NWA,Northwest airlines,22,605,36,9.81
2006,1,MXA,Mexicana,6,147,41,9.79
2006,1,DHL,Dhl,8,83,96,9.51
2006,1,ABX,Airborne express,10,93,108,9.45
2006,1,AMT,American trans air,35,270,130,9.34
2006,1,SCX,Sun country,8,59,136,9.31
2006,1,JAL,Japan airlines,21,136,154,9.21
2006,1,FDX,Federal express,27,142,190,9.03
2006,1,NCA,Nippon cargo airlines,21,85,247,8.74
2006,1,CCA,Air china,8,28,286,8.54
2006,1,AAR,Asiana airlines,19,55,345,8.24
2006,1,PAL,Philippine airlines,33,70,471,7.59
2006,1,CLX,Cargolux,8,14,571,7.08
2006,1,KAL,Korean air,66,110,600,6.94
2006,1,SIA,Singapore airlines,125,124,1008,4.86
2006,1,CKS,Kalitta air,24,22,1091,4.43
2006,1,TDX,Tradewinds international airlines,9,8,1125,4.26
2006,1,EVA,Eva airways,133,102,1304,3.35
2006,1,CAL,China airlines,152,110,1382,2.95
2006,1,CPA,Cathay pacific airways,154,92,1674,1.46
2006,1,CKK,China cargo airlines,49,25,1960,0.0
2006,2,SKW,Skywest,23,6222,4,9.98
2006,2,EJA,Netjets aviation,3,532,6,9.97
2006,2,EGF,American airlines eagle,2,269,7,9.96
2006,2,FFT,Frontier airlines,2,264,8,9.96
2006,2,BAW,British airways,1,111,9,9.95
2006,2,AWE,Us airways,7,655,11,9.94
2006,2,QXE,Horizon air,2,155,13,9.93
2006,2,ACA,Air canada,6,343,17,9.91
2006,2,COA,Continental air lines,11,627,18,9.91
2006,2,ANA,All nippon airways,1,56,18,9.9
2006,2,ASH,Mesa aviation services,1,56,18,9.9
2006,2,VIR,Virgin atlantic,1,56,18,9.9
2006,2,AFR,Air france,1,55,18,9.9
2006,2,TRS,Airtran airways,1,55,18,9.9
2006,2,KLM,Klm royal dutch airlines,1,52,19,9.9
2006,2,DLH,Lufthansa,2,96,21,9.89
2006,2,ASA,Alaska airlines,29,1096,26,9.86
2006,2,NWA,Northwest airlines,15,547,27,9.85
2006,2,USA,Us airways,10,364,27,9.85
2006,2,MXA,Mexicana,4,140,29,9.85
2006,2,AAL,American airlines,52,1736,30,9.84
2006,2,DAL,Delta airlines,30,877,34,9.82
2006,2,SCX,Sun country,2,57,35,9.81
2006,2,UAL,United airlines,317,7678,41,9.78
2006,2,DHL,Dhl,5,78,64,9.66
2006,2,CCA,Air china,2,28,71,9.62
2006,2,ELJ,Delta air elite business jets,1,10,100,9.46
2006,2,AMT,American trans air,30,223,135,9.28
2006,2,ABX,Airborne express,14,90,156,9.17
2006,2,TAI,Taca international airlines,11,65,169,9.09
2006,2,JAL,Japan airlines,23,132,174,9.06
2006,2,FDX,Federal express,35,136,257,8.62
2006,2,AAR,Asiana airlines,13,45,289,8.45
2006,2,NCA,Nippon cargo airlines,31,88,352,8.11
2006,2,KAL,Korean air,50,96,521,7.2
2006,2,PAL,Philippine airlines,36,64,563,6.98
2006,2,CLX,Cargolux,11,15,733,6.06
2006,2,CKS,Kalitta air,19,22,864,5.36
2006,2,CKK,China cargo airlines,16,18,889,5.23
2006,2,SIA,Singapore airlines,111,112,991,4.68
2006,2,EVA,Eva airways,121,96,1260,3.23
2006,2,TDX,Tradewinds international airlines,17,13,1308,2.98
2006,2,CAL,China airlines,138,100,1380,2.59
2006,2,CPA,Cathay pacific airways,149,80,1863,0.0
2006,3,SKW,Skywest,18,6930,3,9.98
2006,3,TAG,Tag aviation,1,123,8,9.93
2006,3,QXE,Horizon air,2,176,11,9.91
2006,3,AWE,Us airways,10,706,14,9.89
2006,3,USA,Us airways,6,419,14,9.89
2006,3,ASA,Alaska airlines,19,1225,16,9.88
2006,3,ACA,Air canada,7,434,16,9.87
2006,3,BAW,British airways,2,124,16,9.87
2006,3,KHA,Kitty hawk aircargo,1,55,18,9.85
2006,3,DHL,Dhl,1,44,23,9.82
2006,3,COA,Continental air lines,18,752,24,9.81
2006,3,DAL,Delta airlines,28,1035,27,9.78
2006,3,FFT,Frontier airlines,9,288,31,9.75
2006,3,MXA,Mexicana,5,152,33,9.74
2006,3,UAL,United airlines,290,8573,34,9.73
2006,3,NWA,Northwest airlines,24,614,39,9.69
2006,3,AAL,American airlines,93,1959,47,9.62
2006,3,SCX,Sun country,5,61,82,9.34
